crs_id,project_number,year,aid_type,flow_name,donor_name,recipient_name,usd_commitment_deflated,usd_disbursement_deflated,purpose_name,project_title,short_description,long_description,gender,relevance,check,inclusion,employment
20132002390005,M013783001,2013,B01,ODA Grants,Canada,"Far East Asia, regional",0.00293607,0.00293607,Basic sanitation,Queen Elizabeth  Diamond Jubilee - Trust / Jubilé de diamant de la reine Elizabeth  Fiducie,QUEEN ELIZABETH  DIAMOND JUBILEE - TRUST / JUBILÉ DE DIAMANT DE LA REINE ELIZABETH  FIDUCIE,"This project aims to work with strategic partners to fund a limited number of innovative, compelling initiatives that make a tangible difference in people's lives. The main program of the Trust is ending avoidable blindness. Ninety per cent of the world's visually impaired people live in developing countries where eye health services are hugely inadequate. Investing in preventing blindness helps millions of people across the poorest Commonwealth countries to keep their sight or have it restored, and enjoy increased prosperity and a better quality of life. The Trust also focuses on promoting youth leadership across the Commonwealth. Commonwealth countries and their private sectors are making financial contributions to the Trust, which celebrates the Queen's 60-year contribution to the Commonwealth and to a life of public service Ce projet vise une collaboration avec des partenaires stratégiques pour financer un nombre restreint d'initiatives novatrices et convaincantes qui changent la vie de personnes de manière concrète. Le principal programme de la Fiducie consiste à mettre fin à la cécité évitable. En effet, 90 % des personnes ayant une déficience visuelle vivent dans un pays en développement où les services de santé oculaire sont largement insuffisants. Les investissements axés sur la prévention de la cécité aident des millions de personnes dans les pays les plus pauvres du Commonwealth à conserver la vue ou à la récupérer, et à profiter d'une plus grande prospérité et d'une meilleure qualité de vie. La Fiducie mise aussi sur la promotion des jeunes chefs de file au sein du Commonwealth. Les pays du Commonwealth et leur secteur privé fournissent des contributions financières à la Fiducie, qui célèbre le 60e anniversaire de la contribution de la reine au Commonwealth et au service au public.",Partial gender component,None,potential false negative,Not inclusion,Not employment
20132002390006,M013783001,2013,B01,ODA Grants,Canada,"South of Sahara, regional",0.249325,0.249325,Health policy and administrative management,Queen Elizabeth  Diamond Jubilee - Trust / Jubilé de diamant de la reine Elizabeth  Fiducie,QUEEN ELIZABETH  DIAMOND JUBILEE - TRUST / JUBILÉ DE DIAMANT DE LA REINE ELIZABETH  FIDUCIE,"This project aims to work with strategic partners to fund a limited number of innovative, compelling initiatives that make a tangible difference in people's lives. The main program of the Trust is ending avoidable blindness. Ninety per cent of the world's visually impaired people live in developing countries where eye health services are hugely inadequate. Investing in preventing blindness helps millions of people across the poorest Commonwealth countries to keep their sight or have it restored, and enjoy increased prosperity and a better quality of life. The Trust also focuses on promoting youth leadership across the Commonwealth. Commonwealth countries and their private sectors are making financial contributions to the Trust, which celebrates the Queen's 60-year contribution to the Commonwealth and to a life of public service Ce projet vise une collaboration avec des partenaires stratégiques pour financer un nombre restreint d'initiatives novatrices et convaincantes qui changent la vie de personnes de manière concrète. Le principal programme de la Fiducie consiste à mettre fin à la cécité évitable. En effet, 90 % des personnes ayant une déficience visuelle vivent dans un pays en développement où les services de santé oculaire sont largement insuffisants. Les investissements axés sur la prévention de la cécité aident des millions de personnes dans les pays les plus pauvres du Commonwealth à conserver la vue ou à la récupérer, et à profiter d'une plus grande prospérité et d'une meilleure qualité de vie. La Fiducie mise aussi sur la promotion des jeunes chefs de file au sein du Commonwealth. Les pays du Commonwealth et leur secteur privé fournissent des contributions financières à la Fiducie, qui célèbre le 60e anniversaire de la contribution de la reine au Commonwealth et au service au public.",Partial gender component,None,potential false negative,Not inclusion,Not employment
20132002390010,M013783001,2013,B01,ODA Grants,Canada,"South of Sahara, regional",0.166217,0.166217,Health education,Queen Elizabeth  Diamond Jubilee - Trust / Jubilé de diamant de la reine Elizabeth  Fiducie,QUEEN ELIZABETH  DIAMOND JUBILEE - TRUST / JUBILÉ DE DIAMANT DE LA REINE ELIZABETH  FIDUCIE,"This project aims to work with strategic partners to fund a limited number of innovative, compelling initiatives that make a tangible difference in people's lives. The main program of the Trust is ending avoidable blindness. Ninety per cent of the world's visually impaired people live in developing countries where eye health services are hugely inadequate. Investing in preventing blindness helps millions of people across the poorest Commonwealth countries to keep their sight or have it restored, and enjoy increased prosperity and a better quality of life. The Trust also focuses on promoting youth leadership across the Commonwealth. Commonwealth countries and their private sectors are making financial contributions to the Trust, which celebrates the Queen's 60-year contribution to the Commonwealth and to a life of public service Ce projet vise une collaboration avec des partenaires stratégiques pour financer un nombre restreint d'initiatives novatrices et convaincantes qui changent la vie de personnes de manière concrète. Le principal programme de la Fiducie consiste à mettre fin à la cécité évitable. En effet, 90 % des personnes ayant une déficience visuelle vivent dans un pays en développement où les services de santé oculaire sont largement insuffisants. Les investissements axés sur la prévention de la cécité aident des millions de personnes dans les pays les plus pauvres du Commonwealth à conserver la vue ou à la récupérer, et à profiter d'une plus grande prospérité et d'une meilleure qualité de vie. La Fiducie mise aussi sur la promotion des jeunes chefs de file au sein du Commonwealth. Les pays du Commonwealth et leur secteur privé fournissent des contributions financières à la Fiducie, qui célèbre le 60e anniversaire de la contribution de la reine au Commonwealth et au service au public.",Partial gender component,None,potential false negative,Not inclusion,Not employment
20132002390011,M013783001,2013,B01,ODA Grants,Canada,"South America, regional",0.0146803,0.0146803,Health policy and administrative management,Queen Elizabeth  Diamond Jubilee - Trust / Jubilé de diamant de la reine Elizabeth  Fiducie,QUEEN ELIZABETH  DIAMOND JUBILEE - TRUST / JUBILÉ DE DIAMANT DE LA REINE ELIZABETH  FIDUCIE,"This project aims to work with strategic partners to fund a limited number of innovative, compelling initiatives that make a tangible difference in people's lives. The main program of the Trust is ending avoidable blindness. Ninety per cent of the world's visually impaired people live in developing countries where eye health services are hugely inadequate. Investing in preventing blindness helps millions of people across the poorest Commonwealth countries to keep their sight or have it restored, and enjoy increased prosperity and a better quality of life. The Trust also focuses on promoting youth leadership across the Commonwealth. Commonwealth countries and their private sectors are making financial contributions to the Trust, which celebrates the Queen's 60-year contribution to the Commonwealth and to a life of public service Ce projet vise une collaboration avec des partenaires stratégiques pour financer un nombre restreint d'initiatives novatrices et convaincantes qui changent la vie de personnes de manière concrète. Le principal programme de la Fiducie consiste à mettre fin à la cécité évitable. En effet, 90 % des personnes ayant une déficience visuelle vivent dans un pays en développement où les services de santé oculaire sont largement insuffisants. Les investissements axés sur la prévention de la cécité aident des millions de personnes dans les pays les plus pauvres du Commonwealth à conserver la vue ou à la récupérer, et à profiter d'une plus grande prospérité et d'une meilleure qualité de vie. La Fiducie mise aussi sur la promotion des jeunes chefs de file au sein du Commonwealth. Les pays du Commonwealth et leur secteur privé fournissent des contributions financières à la Fiducie, qui célèbre le 60e anniversaire de la contribution de la reine au Commonwealth et au service au public.",Partial gender component,None,potential false negative,Not inclusion,Not employment
2010000124057,AID.CTR.270597,2014,C01,ODA Grants,EU Institutions,Tanzania,0,0.2239,Basic drinking water supply and basic sanitation,Kisarawe Water and Environmental Health Project,KISARAWE WATER AND ENVIRONMENTAL HEALTH PROJECT,"Establish sustainable, community-managed water services that increase access to adequate and safe potable water and to improve helath and hygiene practices amoung children in 5 target commuinties",Partial gender component,None,potential false negative,Not inclusion,Not employment
2014001186-6,LN2020-PAK,2014,C01,ODA Loans,Asian Development Bank,Pakistan,0,0,Road transport,Balochistan Road Development Sector Project,BALOCHISTAN ROAD DEVELOPMENT SECTOR PROJECT,"The objectives of the Project are to reduce poverty and support pro-poor economic growth by (i) enhancing access for rural populations to economic opportunities and social services through improvement of the province's road network, (ii) improving trade facilitation and efficiency of the priority road transport corridor linking Pakistan, Afghanistan and Central Asia together, which passes through Balochistan, and (iii) providing essential institutional support and capacity building of  the Communication and Works Department (CWD). The Project will improve the inadequate provincial connectivity and allow better access, psecifically for the rural poor, to education and health facilities, markets, districts, and to the provincial cities. The Project will also support subregional cooperation by (i) improving cross-border movements of goods and passengers at the Chaman border crossing between Pakistan and Afghanistan, (ii) improving access to ports located in southern Pakistan, and (iii) reducing transport cost through improved road conditions and reduced travelling time.",No gender component,None,potential false negative,Not inclusion,Not employment
2014000253,010376/01/5,2014,B03,ODA Grants,Italy,"Middle East, regional",2.30941,2.30941,Material relief assistance and services,Emergency Cash Assistance to Palestine Refugees affected by the Conflict in Syria,EMERGENCY CASH ASSISTANCE TO PALESTINE REFUGEES AFFECTED BY THE CONFLICT IN SYRIA,"Provide Palestine refugees affected by the crisis in Syria with cash assistance for essential needs (Syria, Lebanon and Jordan). Reduce environmental health risks caused by bad quality underground water in Burj Barajneh camp (Lebanon).",No gender component,None,potential false negative,Not inclusion,Not employment
2014020764,41_14088,2014,C01,ODA Grants,United States,Haiti,0.0520583,0.0520583,Elections,National Endowment for Democracy Grant to Institute Panos Caraibes,NATIONAL ENDOWMENT FOR DEMOCRACY GRANT TO INSTITUTE PANOS CARAIBES,"To promote inclusive democratic elections in Haiti. Institue Panos will research the election-related obstacles to participation faced by women, the disabled, and other minorities or persons with special needs in Haiti. Through regional forums, Panos will collect this information and will disseminate its findings via radio broadcasts, a press release and major media outlets. Panos will also foster more public debate on this issue and will form a network of civil society actors to conduct follow up activities.",No gender component,None,potential false negative,Not inclusion,Not employment
2014003480-6,TA7667-IND,2014,D02,ODA Grants,Asian Development Bank,India,0,0.308241,Road transport,Karnataka State Highway Improvement Project,KARNATAKA STATE HIGHWAY IMPROVEMENT PROJECT,"The Karnataka State Highway Improvement Project will upgrade about 615 kilometers (km) of state highways in the state of Karnataka and strengthen the capacity of the Public Works Department (PWD) of the Government of Karnataka (GOK) to develop, operate, and maintain the state road network. The project includes consulting services for implementation of civil works and support the establishment and operation of the Planning and Road Asset Management Centre (PRAMC) of the PWD. Associated TA will be provided to support and strengthen the PWD's capacity in asset management, road safety, and private sector participation. Road improvement works will include the upgrading of existing roads to two lanes; green-field construction of bypasses; strengthening of culverts and bridges; and constructing new bridges, rail overbridges, and cross-draining structures.",No gender component,None,potential false negative,Not inclusion,Not employment
2014023552,69_852,2014,C01,ODA Grants,United States,Lebanon,0.865917,0.649438,Reintegration and SALW control,Convention Weapons Destruction,CONVENTION WEAPONS DESTRUCTION,Convention Weapons Destruction [through Handicap International],No gender component,None,potential false negative,Not inclusion,Not employment
2010000080007,AID.CTR.341888,2014,C01,ODA Grants,EU Institutions,Saint Vincent and the Grenadines,0,0.0872362,Medical services,"TA to the SVG Ministry of Health in CNCD Management, Wellness and Health Programme Management","TA TO THE SVG MINISTRY OF HEALTH IN CNCD MANAGEMENT, WELLNESS AND HEALTH PROGRAMME MANAGEMENT","Provision of expertise to the MoH to develop and implement a holistic wellness programme including targeted public awareness and lifestyle behaviour change initiatives as part of a comprehensive CNCD management programme to prevent and manage CNCDs. Provision of assistance to the MoH in strengthening the management and delivery of health care services in Quality Assurance, Secondary Care, Environmental Health & Mental Health.",Partial gender component,None,potential false negative,Not inclusion,Not employment
2014002849-6,GN0008-BAN,2014,C01,ODA Grants,Asian Development Bank,Bangladesh,0,0.0369479,Health policy and administrative management,Second Urban Primary Health Care Project,SECOND URBAN PRIMARY HEALTH CARE PROJECT,"The Project will improve the health status of the urban population, especially of the poor, in all the six city corporations and five municipalities to be identified. The Project will help ensure the delivery of a package of preventive, promotive, and curative health services.  At least 30% of all the services provided under the Project will be targeted at the poor. The specific project objectives are to improve (i) access to and use of urban primary health care (PHC) services in the project area, with a particular focus on extending provision to the poorest; (ii) the quality of urban PHC services in the project area; and (iii) the cost-effectiveness, efficiency, and institutional and financial sustainability of PHC to meet the needs of the urban poor.The services will be designed to reduce child and maternal mortality and morbidity, and help the country achieve the Millennium Development Goals (MDGs). The Project will continue to contract out PHC services to nongovernment organizations (NGOs) through partnership agreements that were pioneered under the first Urban Primary Health Care Project (UPHCP-I). The Project will ensure pro-poor targeting by requiring that at least 30% of the preventive, promotive, and curative services provided are for the poor. Nutritional supplements will be given to moderately to severely malnourished women and children. The Project will support construction of 64 health facilities, upgrading of 4, and purchase of 12 apartments and/or buildings for PHC facilities in Dhaka city corporation. Community-run latrines and community-based solid-waste disposal will be piloted to improve environmental health, and clinical waste management will be supported.",No gender component,None,potential false negative,Not inclusion,Not employment
2014004425-6,TA8427-IND,2014,D02,ODA Grants,Asian Development Bank,India,0.638606,0.0539367,Road transport,Uttar Pradesh Major District Road Investment Program,UTTAR PRADESH MAJOR DISTRICT ROAD INVESTMENT PROGRAM,"A PPTA is proposed for due diligence on the proposed project, for an amount of $700,000 from ADB's Technical Assistance Special Fund (TASF-other sources). While it is envisaged that the basic detailed project reports (DPRs) will be prepared by the Uttar Pradesh Public Works Department, the PPTA will carry out review of the DPRs prepared by UPPWD; economic assessment; assessment on financial management, procurement, anticorruption, policy and legal capacity, and other institutional aspects; a needs assessment will be conducted to formulate targeted capacity strengthening programs towards (a) enhancing road safety, (b) improving project management, (c) strengthening the capacity for road asset management, and (d) managing private sector participation in road maintenance; review of the institutional set-up and implementation arrangement aspects under previous multilateral projects will be made, and the bottlenecks, which may cause delays in implementation, will be scrutinized; best practice to be adopted for UPPWD to ensure the project sustainability will be examined; determine scope of poverty and social issues that will need to be addressed; and assess environmental impacts and propose mitigation measures.",No gender component,None,potential false negative,Not inclusion,Not employment
2014004635-6,TA8598-IND,2014,D02,ODA Grants,Asian Development Bank,India,0,0.0644226,Road transport,Madhya Pradesh District Connectivity Sector Project,MADHYA PRADESH DISTRICT CONNECTIVITY SECTOR PROJECT,"The proposed project preparatory technical assistance (PPTA) to the Madhya Pradesh Public Works Department (MPPWD) is required to:(i)Assess sector development plan and scope of the Project;(ii)Assess and strengthen detailed project reports (DPRs) prepared by Madhya Pradesh Road Development Corporation (MPRDC) for financing by Asian Development Bank (ADB), including safeguards due diligence, with better project readiness. Project readiness will ensure that project preparation is ready for implementation with feasibility reports, safeguards planning documents, DPRs, and bidding documents prepared for sample roads;(iii)Identify capacity development needs of MPPWD and MPRDC in developing and managing state roads in a sustainable manner. Sustainability of road development and management includes planning capacity, procurement and contract management, road asset management, streamlined business process, road safety, environmental consideration, and so on; and(iv)Assist MPRDC in undertaking advance contracting actions, including public-private partnership (PPP) elements, for sample roads.The following due diligence for the loan will be carried out under the PPTA:(i)Sector and Technical. As indicated in the preliminary sector assessment in Supplementary Appendix B, sector development plans have been prepared under ADB?s previous loans, but these focus on state highways and are also dated. As far as MDRs are concerned, there is no formal sector development plan. MPRDC would need to prepare a sector development plan for improvement and management of MDRs in the state and will be reviewed and strengthened as required. One of the key focus areas would be the need to ensure sustainability of asset management, beyond the initial improvement. For the project, DPRs prepared by MPRDC will be reviewed to ensure cost effectiveness, safety, and appropriateness of the design in light of best practices. Measures will be proposed to improve climate resilience and road safety.(ii)Economic & Financial Assessment. The economic assessment will be carried out in accordance with ADB?s Guidelines for the Economic Analysis of Projects to assess the economic benefits of road sections by comparing ?with-project? and ?without-project? scenarios. Financial assessment will be carried out to ensure sustainable asset maintenance.(iii)Governance & Institutional. The assessment will be made on financial management, procurement, anticorruption, policy and legal capacity, and other institutional aspects for MPRDC and MPPWD.(iv)Poverty, Social, & Gender. PPTA consultants will prepare the poverty and social assessment based on ADB?s Handbook on Poverty and Social Analysis: A Working Document (2012), and Gender Toolkit for Transport. The assessment will cover issues related to participation, gender aspects, labor, affordability, HIV/AIDS transmission, human trafficking, and other social risks. The assessment will recommend mitigation plans or other measures. It will also incorporate gender-",No gender component,None,potential false negative,Not inclusion,Not employment
2014002845-6,LN2153-PAK,2014,C01,ODA Loans,Asian Development Bank,Pakistan,0,0,Sectors not specified,Multisector Rehabilitation&Improvement Prj For Azad Jammu&Kashmir,MULTISECTOR REHABILITATION&IMPROVEMENT PRJ FOR AZAD JAMMU&KASHMIR,"The objective of the Project is to rehabilitate and reconstruct essential infrastructure and facilities and to improve living conditions and quality of life in AJK. The Project will provide a rapid improvement in the well-being of about 3.4 million people in AJK, mainly low income communities and, together with the similar ADB intervention in Jammu and Kashmir on the other side of the LOC, will support the ongoing peace process between Pakistan and India by provision of high priority and highly visible infrastructure.  The Project will comprise the following main components:  Component A. Rehabilitation and Improvement of Health Services, including extension and rehabilitation of accident and emergency departments of 8 district hospitals; provision of essential missing equipment to pediatric and gynecology departments; rehabilitation of 4 tehsil headquarters hospitals; construction of hostels for nurses/other staff and accommodation for doctors; and provision of diagnostic facilities like X-ray, laboratory and ECG; development of proper waiting areas and provision of public toilet and clean drinking water for visitors at the above hospitals; and enhancing technical capacity of doctors through specific trainings.  Component B. Rehabilitation and Improvement of Education Services: The objective of this component is to rehabilitate facilities and other support required immediately to restore and improve the education services, including provision of shelter to 300 shelter-less schools; rehabilitation/reconstruction of 67 damaged school/college buildings along LOC; repair/renovation of 150 middle schools, and 46 high schools as per agreed criteria; provision of water and sanitation facilities to all the schools where inadequate; assistance to the education department in capacity building.  Component C. Rehabilitation and Improvement of Water Supply Systems: The overall goal is to improve living conditions and the quality of life of the urban communities in AJK where water is scarce and unsafe for human consumption. This component will include: (i) rehabilitation and extension of existing water supply network including the rehabilitation of existing treatment plans in all the 7 DHQ and 4 THQ towns; and (ii) strengthening and building the capacity of the PWD and its Public Health Engineering Department (PHED) to organize and efficiently manage water supply functions in a sustained and most cost effective manner.  Component D. Rehabilitation of Roads and Bridges: This component will comprise (i) rehabilitation and improvement of approximately 180 km of the primary road network; (ii) construction/replacement of about 800 meters of major bridges on the primary roads; (iii) construction of about 1,050 meters jeepable suspension bridges on the secondary/tertiary roads; (iv) construction of about 1,050 meters of suspension bridges to improve connectivity of remotely located communities; and (v) policy reforms, capacity building of PWD and improvements in civ",No gender component,None,potential false negative,Not inclusion,Not employment
2014001500-6,LN2555-BAN,2014,C01,ODA Loans,Asian Development Bank,Bangladesh,0,0.101968,Urban development and management,Urban Public and Environmental Health Sector Development Program (Program Loan),URBAN PUBLIC AND ENVIRONMENTAL HEALTH SECTOR DEVELOPMENT PROGRAM (PROGRAM LOAN),"The overall impact of the Urban Public and Environmental Health Sector Development Program (UPEHSDP) is to improve the public and environmental health conditions in the urban areas of Bangladesh, particularly in the six city corporations (Barisal, Chittagong, Dhaka, Khulna, Rajshahi, and Sylhet). The successful implementation of the UPEHSDP will help reduce child mortality and morbidity by reducing the prevalence of waterborne and food-related diseases, increase productivity by reducing overall morbidity, and improve the quality of life of urban inhabitants. UPEHSDP will improve the health status of the poor in urban areas and assist Bangladesh to make progress on the Millennium Development Goals (MDGs) relating to child and maternal health care and communicable diseases (MDGs 4, 5, and 6), and improve urban sanitation (MDG 7). The program and project loans under the UPEHSDP are designed to complement each other in achieving progress towards these key goals.",Partial gender component,None,potential false negative,Not inclusion,Not employment
2014001498-6,LN2555-BAN,2014,C01,ODA Loans,Asian Development Bank,Bangladesh,0,0.349604,Agro-industries,Urban Public and Environmental Health Sector Development Program (Program Loan),URBAN PUBLIC AND ENVIRONMENTAL HEALTH SECTOR DEVELOPMENT PROGRAM (PROGRAM LOAN),"The overall impact of the Urban Public and Environmental Health Sector Development Program (UPEHSDP) is to improve the public and environmental health conditions in the urban areas of Bangladesh, particularly in the six city corporations (Barisal, Chittagong, Dhaka, Khulna, Rajshahi, and Sylhet). The successful implementation of the UPEHSDP will help reduce child mortality and morbidity by reducing the prevalence of waterborne and food-related diseases, increase productivity by reducing overall morbidity, and improve the quality of life of urban inhabitants. UPEHSDP will improve the health status of the poor in urban areas and assist Bangladesh to make progress on the Millennium Development Goals (MDGs) relating to child and maternal health care and communicable diseases (MDGs 4, 5, and 6), and improve urban sanitation (MDG 7). The program and project loans under the UPEHSDP are designed to complement each other in achieving progress towards these key goals.",Partial gender component,None,potential false negative,Not inclusion,Not employment
2014002706-6,LN1702-VIE,2014,C01,ODA Loans,Asian Development Bank,Viet Nam,0,0,Sectors not specified,Ho Chi Minh City Environmental Improvement Project,HO CHI MINH CITY ENVIRONMENTAL IMPROVEMENT PROJECT,"The objectives of the Project are to (i) improve the urban environment through appropriate urban infrastructure development and the effective and sustainable management or urban services; (ii) further human development through environmental improvements; (iii) support economic growth through the development and management of sustainable and well-planned infrastructure development and urban services; and (iv) reduce environmental health hazards to the urban community. The Project consists of three parts: Part A - infrastructure improvements consisting of urban drainage/sewerage rehabilitation; solid waste management, crematoria, and capacity building and institutional strengthening; Part B - environmental improvements consisting of industrial pollution control, air quality monitoring, and capacity building and institutional strengthening; and Part C - implementation assistance.",No gender component,None,potential false negative,Not inclusion,Not employment
2014009052,76_40198,2014,B03,ODA Grants,United States,Ukraine,0.260292,0.591768,STD control including HIV/AIDS,World Health Organization Consolidated Grant - HIV/AIDS,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - HIV/AIDS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2014009053,76_40198,2014,B03,ODA Grants,United States,Ukraine,,0.0639901,Multisector aid,World Health Organization Consolidated Grant - Program Design and Learning,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - PROGRAM DESIGN AND LEARNING,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2014009054,76_40198,2014,B03,ODA Grants,United States,Ukraine,0.780875,0.156591,Tuberculosis control,World Health Organization Consolidated Grant - Tuberculosis,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - TUBERCULOSIS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2014009055,76_40198,2014,B03,ODA Grants,United States,Viet Nam,0.728817,0.774295,STD control including HIV/AIDS,World Health Organization Consolidated Grant - HIV/AIDS,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - HIV/AIDS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2014009056,76_40198,2014,B03,ODA Grants,United States,West Bank and Gaza Strip,0.260292,,Multisector aid,World Health Organization Consolidated Grant - Program Design and Learning,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - PROGRAM DESIGN AND LEARNING,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2011000718001,SCR.CTR.290815,2014,C01,ODA Grants,EU Institutions,Ethiopia,0,0.526643,Agricultural development,Smallholder Markets and Agriculture Resilience Transformation Project (SMART Project),SMALLHOLDER MARKETS AND AGRICULTURE RESILIENCE TRANSFORMATION PROJECT (SMART PROJECT),"The project aims to enhance the resilience of 36,500 poor smallholder farmers in thirteen target woredas of Oromia and SNNP Regional states through improved agricultural production and income. The project to be implemented in partnership with 4 NGOs (SHA.UK, OXFAM.UK, SOS Sahel, RVCWDA.",Partial gender component,None,potential false negative,Not inclusion,Not employment
2014140737,28235770,2014,C01,ODA Grants,Finland,Tanzania,0.0365283,0.0328751,Human rights,Sign language interpretation services at the constitutional assembly of the United Republic of Tanzania,SIGN LANGUAGE INTERPRETATION SERVICES AT THE CONSTITUTIONAL ASSEMBLY OF THE UNITED REPUBLIC OF TANZANIA,Tanzania is writing a new constitution the process has so far reached in the stage of the second draft discussion within the constitution assembly which was currently established by the president of the United Republic of Tanzania. This is a new chapter for Tanzania in its contemporary history and already the assembly has begun its work in Dodoma. the whole process has been sidelining the Deaf community participation in terms of access to information it s almost every day in television and radio stations the constitution making information are broadcasted to keep the public informed and involved in the process without consideration of the Deaf community.. this proposal therefore aims at availing sign language interpreters service throughout the constitution assembly sessions.the following activities will be undertaken during the assignment: Conducting planning supervision and evaluation meeting to assess the impact of the assignment; purchases of technology device for smooth operation of the assignment; perform interpreting services during Constitutional Assembly sessions for seventy (70) days; ensure that there is continuous training and skills upgrading course for interpreter serving in the Constitutional Assembly; Conduct impact assessment from Deaf beneficiariesA team of eleven experts has been formed to carry out the assignment which will commence immediately. The team include; 4 professional sign language interpreters one ICT officer four Tanzania Broadcasting Corporation (TBC) officers one Assistanr Director for Information from the office of Parliament and CHAVITA Executive Director for overall supervision.,Major gender component,None,potential false negative,Not inclusion,Not employment
2014990361,"",2014,C01,ODA Grants,France,Wallis and Futuna,0.00114988,0.00114988,Public finance management (PFM),MGA Gestion des finances publiques et des ressources humaines,MGA GESTION DES FINANCES PUBLIQUES ET DES RESSOURCES HUMAINES,GestFiscaleFinÉtatSe - Dép Pers à reventiler - COTIS RISQ INVALIDIT,No gender component,None,potential false negative,Not inclusion,Not employment
20080007770010,S064211PRG,2014,C01,ODA Grants,Canada,Zambia,0,0.0944039,Basic health care,Reduction of Avoidable Blindness Program / Programme de réduction de la cécité évitable,REDUCTION OF AVOIDABLE BLINDNESS PROGRAM / PROGRAMME DE RÉDUCTION DE LA CÉCITÉ ÉVITABLE,"This program aims to prevent blindness by focussing on: community-based prevention and community development, restoring sight among the curable blind, as well as training eye care professionals and local health promoters. This program contributes mainly to addressing health care priorities, but also works to reduce poverty and improve the social integration of visually impaired people. / Ce programme vise à prévenir la cécité en privilégiant le développement et la prévention communautaires, la restauration de la vue chez les personnes aveugles guérissables, la formation de professionnels des soins de la vue et la formation de promoteurs locaux de la santé. Ce programme contribue essentiellement aux priorités en matière de soins de santé et soutient, par le fait même, la réduction de la pauvreté et l insertion sociale de personnes souffrant d une déficience visuelle.",Partial gender component,None,potential false negative,Not inclusion,Not employment
